Model,Accuracy,Weighted_F1,Macro_F1
XGBoost,0.9739423723639481,0.9738534551556778,0.9164877037023469
CatBoost,0.9715005878933928,0.971370094038647,0.9136291557220808
LightGBM,0.9768751781855581,0.9767860590528405,0.9230271777391668
Ensemble,0.9754736738331677,0.9753842920597026,0.919532319196313
