feature,XGBoost,CatBoost,LightGBM,avg_importance
L4_SRC_PORT,0.03400442,0.40380090088158904,1.0,0.4792684403078757
L4_DST_PORT,0.20060611,1.0,0.12897628687102372,0.4431941315276053
MAX_IP_PKT_LEN,1.0,0.11650021995718914,0.004012434933487565,0.37350421829689223
SRC_TO_DST_AVG_THROUGHPUT,0.050761983,0.7491544641830569,0.3123554077501446,0.3707572849105926
LONGEST_FLOW_PKT,0.5952693,0.19290941105361062,0.2417220936957779,0.3433002757149044
TCP_WIN_MAX_IN,0.6043505,0.22314456656976436,0.059174378253325624,0.2955564840274863
DST_TO_SRC_AVG_THROUGHPUT,0.27935386,0.3167068674834024,0.24660208212839793,0.2808876022174019
SRC_TO_DST_SECOND_BYTES,0.3232741,0.3090386780182654,0.2090080971659919,0.2804402936571782
IN_BYTES,0.05818187,0.43319188402236786,0.2575187969924812,0.24963085058119341
SHORTEST_FLOW_PKT,0.22176623,0.3352714703388567,0.12771110468478888,0.22824960282261977
TCP_WIN_MAX_OUT,0.18469314,0.3143312151883258,0.12930161943319837,0.209441992464415
FLOW_DURATION_MILLISECONDS,0.043227855,0.2535403890501028,0.2666642567958357,0.18781083365402249
MAX_TTL,0.542814,0.002743778794305431,0.004554655870445344,0.18337081700230462
L7_PROTO,0.06963283,0.2933762738229864,0.1529786003470214,0.17199590080187802
DNS_QUERY_ID,0.0012062514,0.008428473701850217,0.4852515905147484,0.16496210521998747
TCP_FLAGS,0.17044693,0.2113836298995052,0.06752458068247542,0.14978504763260234
DNS_QUERY_TYPE,0.34803194,0.059019146867746376,0.041859456333140546,0.14963684709230207
OUT_BYTES,0.055272926,0.19388862385389952,0.1976576055523424,0.14893971835045164
FTP_COMMAND_RET_CODE,0.4285916,0.0013715933122859095,0.0018796992481203006,0.1439476338538553
CLIENT_TCP_FLAGS,0.068625435,0.2762899697629615,0.07280219780219781,0.1392392009327585
NUM_PKTS_128_TO_256_BYTES,0.25493672,0.11276169612938172,0.038461538461538464,0.13538665316403983
DNS_TTL_ANSWER,0.13153955,0.02254619488592019,0.24096298438403702,0.13168291089127052
DST_TO_SRC_SECOND_BYTES,0.12239813,0.12033285711944912,0.1499783111625217,0.13090309962588495
NUM_PKTS_UP_TO_128_BYTES,0.04098169,0.17685115316049096,0.16881145170618855,0.12888143206578362
DURATION_OUT,0.15635002,0.05486853137353334,0.12615673799884325,0.11245842865543658
MIN_IP_PKT_LEN,0.1512349,0.10773356680551978,0.07211538461538461,0.11036128213727514
SERVER_TCP_FLAGS,0.038317125,0.12959745272869466,0.06282533256217467,0.07691330352716719
IN_PKTS,0.0351265,0.08130133525894132,0.08928571428571429,0.06857118312544402
DURATION_IN,0.013616108,0.036645804186614235,0.139893001735107,0.06338497141909194
NUM_PKTS_512_TO_1024_BYTES,0.085147806,0.0406307981774404,0.026749566223250434,0.0508427233042141
