iter	Passed	Remaining
324	5483837	2345394
325	5500962	2328628
326	5517867	2311767
327	5534756	2294898
328	5551746	2278072
329	5568690	2261225
330	5585257	2244227
331	5602076	2227331
332	5618808	2210402
333	5635530	2193469
334	5652039	2176456
335	5669140	2159672
336	5685789	2142715
337	5702894	2125930
338	5719873	2109097
339	5736884	2092275
340	5753433	2075285
341	5770116	2058345
342	5787036	2041491
343	5803755	2024566
344	5821017	2007829
345	5837790	1990922
346	5854703	1974064
347	5871533	1957177
348	5888416	1940309
349	5905481	1923499
350	5922603	1906706
351	5939311	1889780
352	5956297	1872943
353	5973242	1856092
354	5989997	1839182
355	6007176	1822401
356	6024234	1805582
357	6040789	1788613
358	6057505	1771693
359	6074735	1754923
360	6091222	1737938
361	6108333	1721132
362	6125043	1704213
363	6141763	1687297
364	6159088	1670547
365	6175971	1653675
366	6192949	1636828
367	6209571	1619888
368	6226633	1603062
369	6243409	1586163
370	6259761	1569158
371	6276655	1552291
372	6293285	1535359
373	6310516	1518573
374	6327395	1501701
375	6344170	1484805
376	6361054	1467935
377	6378004	1451080
378	6394864	1434204
379	6411883	1417363
380	6428505	1400435
381	6445507	1383590
382	6462947	1366837
383	6480066	1350013
384	6496636	1333076
385	6513612	1316222
386	6530500	1299350
387	6547091	1282420
388	6563966	1265546
389	6580916	1248686
390	6597915	1231835
391	6614434	1214896
392	6631286	1198018
393	6648120	1181138
394	6665009	1164267
395	6682023	1147418
396	6698654	1130503
397	6715842	1113682
398	6732261	1096734
399	6749433	1079909
400	6766170	1063014
401	6783175	1046161
402	6799705	1029235
403	6816554	1012359
404	6833392	995481
405	6850469	978638
406	6867334	961764
407	6884133	944881
408	6900850	927987
409	6917967	911146
410	6934483	894227
411	6951381	877358
412	6968462	860512
413	6984945	843592
414	7001882	826728
415	7018405	809816
416	7035064	792920
417	7052065	776064
418	7069327	759235
419	7086280	742372
420	7103020	725486
421	7119728	708598
422	7136524	691719
423	7153508	674859
424	7170273	657978
425	7187302	641120
426	7204362	624265
427	7221018	607375
428	7237737	590491
429	7254727	573629
430	7271363	556740
431	7288003	539852
432	7304302	522940
433	7321005	506060
434	7337928	489195
435	7355481	472370
436	7372468	455507
437	7389165	438626
438	7405815	421743
439	7422372	404856
440	7439080	387979
441	7456118	371119
442	7472278	354216
443	7489253	337353
444	7506168	320488
445	7523190	303626
446	7540177	286762
447	7557043	269894
448	7573674	253018
449	7590294	236142
450	7607237	219277
451	7624037	202408
452	7640809	185538
453	7657493	168667
454	7674420	151801
455	7691294	134934
456	7708360	118071
457	7725594	101208
458	7742691	84343
459	7759710	67475
460	7776435	50605
461	7793270	33737
462	7810384	16869
463	7827231	0
