iter	MultiClass
0	0.9890708754
1	0.767619095
2	0.6180505416
3	0.5186274528
4	0.4490535601
5	0.3961247522
6	0.3530071306
7	0.3188565247
8	0.2942811844
9	0.2725219951
10	0.2564492771
11	0.2432200232
12	0.2321742846
13	0.2236100167
14	0.2155590303
15	0.2092026063
16	0.2030761299
17	0.1990191914
18	0.1949515885
19	0.1907535302
20	0.1867841628
21	0.1842409783
22	0.1804343492
23	0.1780602763
24	0.1756362892
25	0.1730289892
26	0.1708196218
27	0.1687193155
28	0.1675090071
29	0.1652475528
30	0.1631143325
31	0.161756815
32	0.1607963975
33	0.1583087673
34	0.1572538664
35	0.1563703368
36	0.1545710262
37	0.1534665663
38	0.150768146
39	0.1498621008
40	0.1487036751
41	0.1476352659
42	0.1468984491
43	0.1459434676
44	0.1451638178
45	0.1442515044
46	0.1431909666
47	0.1428237832
48	0.1418911075
49	0.1414310358
50	0.140567954
51	0.1400273104
52	0.1394322449
53	0.1388811932
54	0.1385016402
55	0.137881197
56	0.1376270453
57	0.1369528513
58	0.1362825756
59	0.1350659532
60	0.1345062861
61	0.1339527481
62	0.1335645457
63	0.133253203
64	0.1329045526
65	0.1325071541
66	0.1321192428
67	0.1317595204
68	0.131319898
69	0.1309733729
70	0.1302514113
71	0.129657332
72	0.1292333478
73	0.1288306924
74	0.1284185121
75	0.1280925888
76	0.1278601822
77	0.1275016939
78	0.1269911873
79	0.1267382794
80	0.1262728463
81	0.1260177276
82	0.125795957
83	0.1254945804
84	0.1250509522
85	0.1245847869
86	0.1240392364
87	0.1234391827
88	0.1232038063
89	0.1228267645
90	0.1222933524
91	0.1220175742
92	0.1217653655
93	0.1214113468
94	0.1211533686
95	0.1207040079
96	0.1205313986
97	0.1203683619
98	0.1196785007
99	0.1195849049
100	0.1193537378
101	0.1192094843
102	0.11890371
103	0.1184275106
104	0.1181634871
105	0.1178916169
106	0.1177039387
107	0.1173834624
108	0.1171293237
109	0.1168649176
110	0.1165898897
111	0.1162255925
112	0.1161073187
113	0.1159279195
114	0.1157696589
115	0.1156358505
116	0.1153129715
117	0.1151713257
118	0.1149291271
119	0.1147577121
120	0.1143409087
121	0.1140878443
122	0.1139736711
123	0.1138771723
124	0.1137063114
125	0.1133797073
126	0.1131319426
127	0.1130716988
128	0.1129418889
129	0.1127281079
130	0.1124756984
131	0.1124027668
132	0.1119789408
133	0.1116675146
134	0.1114751116
135	0.1112721424
136	0.1111873601
137	0.1110696436
138	0.1107300392
139	0.1106188742
140	0.1104770767
141	0.1103590771
142	0.1101242681
143	0.1099928279
144	0.1098830522
145	0.1097007065
146	0.1095920138
147	0.1093349401
148	0.1092327003
149	0.1091462355
150	0.1090305943
151	0.1089314104
152	0.1088326517
153	0.1087367983
154	0.1085398485
155	0.1083206457
156	0.1081537356
157	0.1079897928
158	0.107926673
159	0.1078419026
160	0.1076711173
161	0.1074032056
162	0.1073098139
163	0.1071767623
164	0.1071408552
165	0.1070893264
166	0.1070408982
167	0.1068002444
168	0.1067240129
169	0.106631077
170	0.1065200758
171	0.1064346119
172	0.106368528
173	0.1062878242
174	0.1059899672
175	0.105894799
176	0.1057298699
177	0.1055865639
178	0.1054865485
179	0.1053375544
180	0.1052360011
181	0.1051087135
182	0.1049365619
183	0.104899592
184	0.1048066676
185	0.1046155162
186	0.1045929558
187	0.1044982199
188	0.1043795923
189	0.1042956778
190	0.1041892969
191	0.1041091043
192	0.1040558413
193	0.103834066
194	0.1037109013
195	0.1036135448
196	0.1034797586
197	0.1033036085
198	0.1032025448
199	0.10295988
200	0.1029084286
201	0.1028450116
202	0.1025560596
203	0.1024420876
204	0.1023566264
205	0.1023301415
206	0.1021938672
207	0.1021132446
208	0.1020075405
209	0.1018809161
210	0.1018520302
211	0.1016565992
212	0.1014926284
213	0.101438667
214	0.1012562398
215	0.101120157
216	0.1010617543
217	0.1009955481
218	0.1009411381
219	0.1008769072
220	0.1008124724
221	0.1007583715
222	0.1006922257
223	0.1005411764
224	0.1004463321
225	0.1003144947
226	0.1002393038
227	0.100217271
228	0.1001145498
229	0.1000375859
230	0.09989676009
231	0.09981549069
232	0.09974586503
233	0.09971104741
